id,predicted_difficulty
0,A1
1,A1
2,A1
3,A2
4,C2
5,B1
6,A1
7,A1
8,B2
9,A1
10,A1
11,A1
12,A2
13,B2
14,A1
15,A1
16,B2
17,A1
18,A1
19,A1
20,C2
21,C1
22,A1
23,B2
24,A1
25,C2
26,A1
27,A1
28,A1
29,B2
30,A1
31,B1
32,A1
33,A1
34,A1
35,A1
36,B2
37,A1
38,A1
39,A1
40,A2
41,B2
42,A1
43,B1
44,B1
45,B2
46,A1
47,C2
48,A1
49,A1
50,C2
51,A1
52,B2
53,A1
54,A1
55,B2
56,B2
57,B1
58,B2
59,A1
60,B2
61,A1
62,B2
63,B2
64,B2
65,B2
66,A1
67,A1
68,A1
69,C2
70,A1
71,B1
72,B2
73,A1
74,A2
75,A1
76,A1
77,B2
78,A2
79,A1
80,A1
81,A1
82,A1
83,A2
84,A1
85,B1
86,B1
87,A1
88,B2
89,A1
90,C2
91,A1
92,B1
93,B2
94,A1
95,A1
96,A1
97,A1
98,B1
99,B1
100,B1
101,B2
102,A1
103,A2
104,B2
105,A1
106,A1
107,A1
108,A1
109,B2
110,B2
111,A1
112,B2
113,B2
114,B2
115,A1
116,B2
117,A2
118,B1
119,B2
120,A1
121,B2
122,A1
123,B2
124,A1
125,B1
126,B2
127,B2
128,B2
129,B2
130,A1
131,A1
132,B2
133,A1
134,B2
135,B2
136,A1
137,B2
138,A1
139,A1
140,A1
141,B2
142,B1
143,C2
144,B2
145,B2
146,A1
147,B1
148,B2
149,A2
150,B2
151,A1
152,A1
153,A1
154,A1
155,B2
156,B2
157,A1
158,A1
159,A2
160,A1
161,A1
162,B1
163,A1
164,B2
165,C2
166,A1
167,A1
168,B2
169,A1
170,A1
171,A1
172,A1
173,A2
174,A1
175,B2
176,B2
177,B2
178,A1
179,B1
180,A1
181,B1
182,B2
183,B1
184,B2
185,A1
186,B1
187,A1
188,B1
189,B2
190,A1
191,B1
192,B2
193,B1
194,A1
195,A1
196,B2
197,A1
198,B2
199,A2
200,B2
201,B2
202,A1
203,A1
204,B2
205,A1
206,A1
207,A1
208,A1
209,A1
210,A1
211,A1
212,A1
213,A1
214,B1
215,A1
216,A1
217,C2
218,A1
219,B1
220,A1
221,B2
222,A1
223,B1
224,A1
225,B2
226,A2
227,A1
228,A1
229,A1
230,A1
231,A2
232,B2
233,A1
234,A1
235,B2
236,B2
237,A1
238,B2
239,A1
240,A2
241,A1
242,A1
243,A1
244,A1
245,A1
246,A1
247,A1
248,A1
249,B1
250,B1
251,A1
252,A1
253,B2
254,A1
255,C2
256,B1
257,A1
258,A1
259,C2
260,A1
261,A1
262,A1
263,B2
264,B2
265,B2
266,B2
267,A1
268,B2
269,C2
270,A1
271,A1
272,A1
273,B1
274,A1
275,A1
276,B2
277,A1
278,A2
279,A1
280,A1
281,B2
282,B1
283,A1
284,A1
285,A1
286,B2
287,C2
288,B2
289,B2
290,A1
291,A1
292,A1
293,A1
294,B2
295,B2
296,B2
297,A2
298,A1
299,A1
300,A1
301,A1
302,C2
303,A1
304,A1
305,A1
306,A1
307,B2
308,B2
309,A1
310,B2
311,A1
312,B2
313,B1
314,B2
315,B1
316,A1
317,B2
318,A1
319,A1
320,B1
321,A1
322,B2
323,B2
324,A1
325,A1
326,B2
327,B2
328,A1
329,A1
330,A1
331,A1
332,A1
333,B2
334,A1
335,A1
336,A1
337,A1
338,C2
339,B2
340,B1
341,A1
342,B1
343,B1
344,B2
345,A1
346,A1
347,C2
348,A1
349,A1
350,B2
351,A1
352,B2
353,A1
354,B1
355,C2
356,A1
357,A2
358,B2
359,B2
360,A1
361,B2
362,B2
363,A2
364,B2
365,A1
366,A2
367,A2
368,A1
369,B1
370,B1
371,A1
372,C2
373,A1
374,C2
375,A1
376,A1
377,A2
378,A1
379,A1
380,A1
381,A1
382,A1
383,A2
384,B2
385,A1
386,B1
387,A1
388,B2
389,A1
390,B1
391,B1
392,A1
393,B2
394,B2
395,B2
396,A1
397,A2
398,B1
399,A1
400,B2
401,A1
402,A1
403,B2
404,A1
405,B1
406,A1
407,A1
408,A1
409,B1
410,A1
411,B2
412,B2
413,C2
414,B1
415,B2
416,A1
417,B2
418,A1
