,id,sentence,difficulty,words_no,n_diff,char_no,avg_wordLength,stopwords_no,DET,NOUN,ADJ,VERB,ADP,PUNCT,CCONJ,ADV,num_words_before_first_verb,PRON,AUX,MISC,SCONJ,PROPN,LOC,NUM,PER,X,ORG,SYM,SPACE,INTJ,word,word_diff,avg_word_diff,word_freq,avg_word_freq,readability
0,0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,38,5,255,5.7368421052631575,15.0,3.0,14.0,3.0,5.0,13.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Les', 'coûts', 'kilométriques', 'réels', 'peuvent', 'diverger', 'sensiblement', 'des', 'valeurs', 'moyennes', 'en', 'fonction', 'du', 'moyen', 'de', 'transport', 'utilisé', 'du', 'taux', ""d'"", 'occupation', 'ou', 'du', 'taux', 'de', 'remplissage', 'de', ""l'"", 'infrastructure', 'utilisée', 'de', 'la', 'topographie', 'des', 'lignes', 'du', 'flux', 'de', 'trafic', 'etc.']","[0.0, 1, 1, 0.15, 0.01, 1, 1, 0.0, 0.11, 1, 0.0, 0.08, 0.0, 0.01, 0.0, 0.08, 0.02, 1, 0.0, 0.06, 1, 0.19, 0.0, 0.0, 0.06, 0.0, 1, 1, 0.0, 1, 1, 0.09, 1, 0.0, 0.0, 1, 0.0, 0.06, 1, 0.0, 0.16, 0.0, 0.06, 1, 1]",0.3808888888888889,"[14.77, 0, 0, 7.38, 10.58, 0, 0, 14.3, 7.81, 0, 14.74, 8.11, 13.95, 10.49, 15.79, 8.17, 9.73, 13.95, 8.52, 0, 7.04, 12.96, 13.95, 8.52, 15.79, 0, 15.79, 0, 0, 8.05, 15.79, 15.23, 0, 14.3, 8.53, 13.95, 7.35, 15.79, 8.45, 0]",8.4945,43.31
1,1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,12,1,62,4.25,5.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Le', 'bleu', ""c'"", 'est', 'ma', 'couleur', 'préférée', 'mais', 'je', ""n'"", 'aime', 'pas', 'le', 'vert']","[0.0, 0.03, 1, 1, 0.0, 0.0, 0.02, 0.06, 0.0, 0.0, 1, 0.0, 0.0, 0.0, 0.03, 1]",0.25875000000000004,"[15.33, 9.42, 0, 15.6, 13.33, 9.46, 8.53, 14.15, 15.78, 0, 12.24, 15.43, 15.33, 9.09]",10.977857142857145,99.14
2,2,Le test de niveau en français est sur le site Internet de l'école.,A1,13,1,66,4.153846153846154,6.0,3.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Le', 'test', 'de', 'niveau', 'en', 'français', 'est', 'sur', 'le', 'site', 'Internet', 'de', ""l'"", 'école']","[0.0, 0.02, 0.0, 0.02, 0.0, 0.03, 0.0, 0.0, 0.0, 0.04, 0.03, 0.0, 1, 0.0, 1]",0.14266666666666666,"[15.33, 9.57, 15.79, 9.69, 14.74, 9.38, 15.6, 13.59, 15.33, 9.04, 9.12, 15.79, 0, 10.97]",11.709999999999997,90.77
3,3,Est-ce que ton mari est aussi de Boston?,A1,8,1,40,4.125,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Est', '-ce', 'que', 'ton', 'mari', 'est', 'aussi', 'de']","[0.0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1]",0.2222222222222222,"[15.6, 0, 15.29, 13.06, 11.07, 15.6, 12.81, 15.79]",12.4025,95.84
4,4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,34,3,209,5.176470588235294,13.0,4.0,10.0,2.0,4.0,11.0,5.0,1.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Dans', 'les', 'écoles', 'de', 'commerce', 'dans', 'les', 'couloirs', 'de', 'places', 'financières', 'il', 'arrive', ""aujourd'hui"", 'de', 'croiser', 'de', 'jeunes', 'adultes', 'de', 'ou', 'ans', 'qui', 'prévoient', ""d'"", 'ouvrir', 'une', 'maison', ""d'"", 'hôtes', 'dans', 'une', 'quinzaine', ""d'"", 'années', '.']","[0.0, 0.0, 0.08, 0.0, 0.07, 1, 0.0, 0.0, 0.19, 0.0, 0.06, 1, 1, 0.0, 0.0, 1, 0.0, 0.15, 0.0, 0.01, 0.06, 0.0, 0.0, 0.0, 0.0, 1, 1, 0.01, 0.0, 0.0, 1, 1, 1, 0.0, 0.0, 1, 1, 0.0, 1, 1]",0.34075,"[14.07, 14.77, 8.13, 15.79, 8.39, 14.07, 14.77, 7.09, 15.79, 8.49, 0, 15.06, 11.78, 0, 15.79, 7.39, 15.79, 9.97, 8.57, 15.79, 12.96, 12.18, 14.17, 0, 0, 9.95, 14.66, 11.98, 0, 0, 14.07, 14.66, 0, 0, 10.95, 0]",9.363333333333333,69.45
5,5,voilà une autre histoire que j'ai beaucoup aimée.,A2,8,2,49,5.25,4.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['voilà', 'une', 'autre', 'histoire', 'que', ""j'"", 'ai', 'beaucoup', 'aimée']","[0.0, 0.0, 0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.08, 1]",0.20800000000000002,"[12, 14.66, 12.67, 11.32, 15.29, 0, 14.56, 12.11, 8.11]",11.19111111111111,88.48
6,6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,15,2,83,4.6,6.0,3.0,4.0,0.0,3.0,2.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Les', 'médecins', 'disent', 'souvent', ""qu'"", 'on', 'doit', 'boire', 'un', 'verre', 'de', 'vin', 'rouge', 'après', 'les', 'repas']","[0.0, 0.04, 0.01, 0.01, 1, 0.0, 0.0, 0.01, 0.0, 0.01, 0.0, 0.02, 0.01, 0.0, 0.0, 0.02, 1]",0.1252941176470588,"[14.77, 8.85, 10.11, 10.38, 0, 14.67, 12.18, 10.43, 15.14, 10.55, 15.79, 9.82, 10.2, 12.28, 14.77, 9.55]",11.218125,96.1
7,7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,31,4,206,5.67741935483871,17.0,5.0,8.0,3.0,3.0,7.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Il', 'est', 'particulièrement', 'observé', 'chez', 'les', 'personnes', 'ayant', 'un', 'besoin', 'de', 'popularité', 'développé', 'qui', 'considèrent', 'dès', 'lors', 'le', 'moindre', 'signal', 'du', 'smartphone', 'comme', 'un', 'possible', 'indicateur', 'de', 'leur', 'degré', 'de', 'popularité']","[0.0, 0.0, 0.07, 0.15, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 1, 0.13, 1, 0.0, 1, 0.01, 0.02, 0.0, 0.03, 0.03, 0.0, 1, 0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.11, 0.0, 1, 1]",0.22999999999999998,"[15.06, 15.6, 8.34, 7.38, 12.15, 14.77, 10.74, 8.91, 15.14, 12.55, 15.79, 0, 7.56, 14.17, 0, 10.56, 9.47, 15.33, 9.38, 9.35, 13.95, 0, 13.52, 15.14, 10.99, 0, 15.79, 12.21, 7.85, 15.79, 0]",10.241612903225807,35.7
8,8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,11,2,53,3.909090909090909,5.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""J'"", 'ai', 'retrouvé', 'le', 'plaisir', 'de', 'manger', 'un', 'oeuf', 'à', 'la', 'coque']","[1, 0.0, 0.02, 0.0, 0.01, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.17]",0.10916666666666668,"[0, 14.56, 9.59, 15.33, 10.65, 15.79, 10.87, 15.14, 7.76, 15.08, 15.23, 7.26]",11.438333333333333,92.8
9,9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,15,3,88,4.933333333333334,7.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Nous', 'allons', 'bien', 'nous', 'habitons', 'dans', 'une', 'petite', 'maison', 'ancienne', 'avec', 'un', 'très', 'beau', 'jardin']","[0.0, 0.0, 0.0, 1, 0.0, 1, 0.0, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0, 0.03]",0.12874999999999998,"[14.06, 11.43, 14.03, 14.06, 0, 14.07, 14.66, 11.5, 11.98, 9.09, 13.89, 15.14, 12.9, 10.96, 9.28]",11.803333333333336,81.38
